date|team|acquired|relinquished|notes
2014-07-17|Celtics|Walter McCarty||re-signed as assistant coach to a 3-year contract
2014-07-27|Lakers|Byron Scott||hired as head coach
2014-07-30|Nets|Jim Sann / Jimmy Sann||hired as assistant coach / advance scout
2014-07-30|Nets|Joe Wolf||hired as assistant coach
2014-07-30|Nets|Jay Humphries||hired as assistant coach
2014-07-30|Nets|John Welch||hired as assistant coach
2014-07-30|Nets|Paul Westphal||hired as assistant coach
2014-07-30|Nets|Tony Brown||hired as assistant coach
2014-07-31|Grizzlies|Jeff Bzdelik||hired as assistant coach
2014-07-31|Grizzlies|Trevor Moawad||hired as mental endurance coach
2014-07-31|Grizzlies|Jason March||promoted to assistant coach / advance scout
2014-08-03|Hawks|Neven Spahija||hired as assistant coach
2014-08-05|Spurs|Becky Hammon||hired as assistant coach
2014-08-07|Pistons|Anthony Harvey||hired as strength and conditioning coach
2014-08-07|Pistons|Malik Allen||hired as assistant coach
2014-08-07|Pistons|Tim Hardaway Sr.||hired as assistant coach
2014-08-08|Wizards|Roy Rogers||hired as assistant coach
2014-08-19|Cavaliers|James Posey||hired as assistant coach
2014-08-19|Cavaliers|Larry Drew I||hired as assistant coach
2014-08-19|Cavaliers|Phil Handy||re-signed as assistant coach
2014-08-19|Cavaliers|Bret Brielmaier||re-signed as assistant coach
2014-08-19|Cavaliers|Jim Boylan||re-signed as assistant coach
2014-08-19|Knicks|Jim Cleamons||hired as assistant coach (date 09-03 per E NBA P)
2014-08-20|Hawks|Ben Sullivan||hired as assistant coach
2014-08-20|Hawks|Charles Lee||hired as assistant coach
2014-08-22|Thunder|Mark Daigneault||hired as NBADL head coach
2014-08-27|Clippers|Glenn Rivers / Doc Rivers||re-signed as president of basketball operations and head coach to a 5-year, $50M contract extension through 2018-19
2014-09-03|Knicks|Brian Keefe||hired as assistant coach
2014-09-03|Knicks|Rasheed Hazzard||hired as assistant coach
2014-09-03|Knicks|Joshua Longstaff||hired as assistant coach
2014-09-03|Pistons|Otis Smith||hired as NBADL head coach
2014-09-04|Heat||Ron Rothstein|retired as assistant coach
2014-09-04|Wizards|Howard Eisley||hired as assistant coach
2014-09-16|Lakers|Jim Eyen||hired as assistant coach
2014-09-16|Lakers|Clay Moser||hired as assistant coach and head advance NBA scout
2014-09-16|Lakers|Mark Madsen||hired as assistant coach
2014-09-16|Lakers|Paul Pressey||hired as assistant coach
2014-09-16|Lakers|Thomas Scott||hired as assistant coach for player development
2014-09-17|Heat|Chris Quinn||hired as assistant coach / assistant coach for player development (E)
2014-09-17|Heat|Eric Foran||hired as assistant strength and conditioning coach
2014-09-17|Heat|Juwan Howard||promoted to assistant coach
2014-09-17|Heat|Octavio De La Grana||player development coach and director of minor league operations (date 09-24 per E)
2014-09-17|Heat|David Fizdale||promoted to assistant head coach
2014-09-17|Heat|Keith Smart||hired as assistant coach
2014-09-24|Heat|Phil Weber||hired NBADL head coach
2014-09-25|Thunder|Royal Ivey||hired as NBADL assistant coach
2014-09-29|Clippers|Sam Cassell||hired as assistant coach
2014-09-29|Clippers|Lawrence Frank||hired as assistant coach
2014-09-29|Clippers|Mike Woodson||hired as assistant coach
2014-09-30|Rockets|T.R. Dunn||hired as assistant coach
2014-10-08|Pacers|Frank Vogel||re-signed as head coach to a multi-year contract extension
2014-11-05|76ers|Eugene Burroughs||hired as shooting coach
2014-11-05|76ers|Sean Rooks||hired as player development coach
2014-12-15|Kings||Michael Malone / Mike Malone|fired as head coach
2014-12-15|Kings|Tyrone Corbin||promoted to interim head coach
2014-12-24|Rockets|Kevin McHale||re-signed as head coach to a 3-year contract extension
2014-12-31|Kings|Tyrone Corbin||promoted to head coach
2015-02-05|Magic||Jacque Vaughn|fired as head coach
2015-02-05|Magic|James Borrego||promoted to interim head coach
2015-02-12|Kings||Tyrone Corbin|fired as head coach
2015-02-12|Kings|George Karl||hired as head coach, signed to a reported 4-year, $14.5M contract
2015-02-23|Kings|Vance Walberg||hired as assistant coach
2015-03-03|Nuggets||Brian Shaw|fired as head coach
2015-03-03|Nuggets|Melvin Hunt||promoted to interim head coach
2015-04-20|Rockets||Nevada Smith|fired as NBADL coach
2015-04-22|Thunder||Scott Brooks|fired as head coach
2015-04-30|Thunder|Billy Donovan||hired as head coach
2015-05-12|Hornets||Monty Williams|fired as head coach
2015-05-28|Bulls||Tom Thibodeau|fired as head coach
2015-05-29|Magic|Scott Skiles||hired as head coach
2015-05-30|Pelicans|Alvin Gentry||hired as head coach
2015-06-02|Bulls|Fred Hoiberg||hired as head coach, signed to a reported 5-year, $25M contract
2015-06-15|Nuggets|Michael Malone / Mike Malone||hired as head coach, signed to a reported 4-year contract
2015-06-16|Spurs||Jim Boylen|resigned as assistant coach (date approximate)
2015-06-17|Bulls|Jim Boylen||hired as associate head coach
2015-06-18|Hawks|Mike Budenholzer||promoted to president of basketball operations (in addition to head coach)
2015-06-25|Bulls|Pete Myers||hired as assistant coach
2015-06-29|Thunder|Anthony Grant||hired as assistant coach
2015-06-29|Thunder|Billy Schmidt||hired as quality control coach
2015-06-29|Thunder|Maurice Cheeks||hired as assistant coach
2015-06-29|Thunder|Monty Williams||hired as assistant coach
2015-07-07|Bulls|Charlie Henry||hired as assistant coach
2015-07-07|Bulls|Randy Brown||reassigned to assistant coach
2015-07-09|76ers|Todd Wright||hired as assistant coach, head of conditioning
2015-07-29|Raptors|Andy Greer||hired as assistant coach
2015-07-29|Raptors|Jerry Stackhouse||hired as assistant coach
2015-07-29|Raptors|Rex Kalamian||hired as assistant coach
2015-07-30|Suns|Corey Gaines||hired as assistant coach
2015-07-30|Suns|Earl Watson||hired as assistant coach
2015-07-30|Suns|Nate Bjorkgren||hired as assistant coach
2015-07-31|Kings|Anthony Carter||hired as assistant coach
2015-07-31|Kings|Chad Iske||hired as assistant coach
2015-07-31|Kings|John Welch||hired as assistant coach
2015-07-31|Kings|Nancy Lieberman||hired as assistant coach
2015-08-18|Rockets|Matt Brase||hired as NBADL head coach
2015-08-28|Hawks|Chris Chase||hired as athletic performance coach
2015-09-11|Lakers|Clay Moser||promoted to assistant coach / director of basketball strategy
2015-09-11|Timberwolves||Phil Saunders / Flip Saunders|took leave of absence as head coach to undergo treatment for cancer
2015-09-11|Timberwolves|Sam Mitchell||promoted to interim head coach
2015-09-22|Blazers|Jim Moran||hired as assistant coach
2015-09-23|Timberwolves|Bryan Gates||hired as assistant coach
2015-10-01|Warriors|Luke Walton||hired as interim head coach
2015-10-15|Lakers|Tracy Murray||hired as shooting coach
2015-11-05|Mavericks|Rick Carlisle||re-signed as head coach to a 5-year, $35M contract extension
2015-11-18|Rockets||Kevin McHale|fired as head coach
2015-11-18|Rockets|John-Blair Bickerstaff / J.B. Bickerstaff||promoted to interim head coach
2015-11-25|Bobcats|Steve Clifford||re-signed as head coach to a 3-year contract extension
2015-12-11|76ers|Brett Brown||re-signed as head coach to a 2-year contract extension
2015-12-18|76ers|Mike D'Antoni||hired as assistant coach
2015-12-28|Suns||Jerry Sichting|fired as assistant coach
2015-12-28|Suns||Mike Longabardi|fired as assistant coach
2015-12-28|Suns|Earl Watson||promoted to bench coach
2016-01-10|Nets||Lionel Hollins|fired as head coach
2016-01-10|Nets|Tony Brown||promoted to interim head coach
2016-01-22|Cavaliers||David Blatt|fired as head coach
2016-01-22|Cavaliers|Tyronn Lue||promoted to head coach
2016-01-22|Warriors|Luke Walton||reassigned to assistant coach
2016-01-27|Cavaliers|Mike Longabardi||hired as assistant coach
2016-02-01|Suns||Jeff Hornacek|fired as head coach
2016-02-01|Suns|Earl Watson||promoted to interim head coach
2016-02-08|Knicks||Derek Fisher|fired as head coach
2016-02-08|Knicks|Kurt Rambis||promoted to interim head coach
2016-02-17|Kings||Vance Walberg|fired as assistant coach
2016-04-13|Timberwolves||Sam Mitchell|fired as interim head coach
2016-04-14|Kings||George Karl|fired as head coach
2016-04-14|Wizards||Randy Wittman|fired as head coach
2016-04-17|Nets|Kenny Atkinson||hired as head coach (effective when Hawks are eliminated from 2016 playoffs)
2016-04-19|Suns|Earl Watson||promoted to head coach, signed to a 3-year contract
2016-04-20|Timberwolves|Tom Thibodeau||hired as president of basketball operations and head coach, signed to a reported 4-year, $40M contract
2016-04-22|Wizards|Scott Brooks||hired as head coach
2016-04-24|Lakers||Byron Scott|fired as head coach
2016-04-26|Wizards|Scott Brooks||hired as head coach (CBC E P)
2016-04-29|Lakers|Luke Walton||hired as head coach, signed to a 5-year contract (to begin after Walton's current team is eliminated from 2016 playoffs)
2016-05-04|Rockets||John-Blair Bickerstaff / J.B. Bickerstaff|resigned as interim head coach
2016-05-05|Pacers||Frank Vogel|fired as head coach
2016-05-06|Grizzlies|Matt Woodley||hired as NBADL head coach
2016-05-06|Jazz|Quin Snyder||re-signed as head coach to a contract extension
2016-05-07|Grizzlies||Dave Joerger|fired as head coach
2016-05-09|Kings|Dave Joerger||hired as head coach, signed to reported 4-year, $16M contract (fourth year is team option)
2016-05-12|Magic||Scott Skiles|resigned as head coach
2016-05-16|Blazers|Terry Stotts||re-signed head coach to a reported 3-year, $15M contract extension
2016-05-16|Pacers|Nate McMillan||promoted to head coach
2016-05-20|Magic|Frank Vogel||hired as head coach
2016-05-21|Timberwolves||Sidney Lowe|fired as assistant coach
2016-05-28|Grizzlies|David Fizdale||hired as head coach, signed to a reported 3-year contract with a 1-year team option
2016-06-01|Celtics|Brad Stevens||re-signed as head coach to a contract extension
2016-06-01|Rockets|Mike D'Antoni||hired as head coach, signed to a reported 4-year contract
2016-06-01|Thunder||Monty Williams|resigned as assistant coach
2016-06-02|Knicks|Jeff Hornacek||hired as head coach, signed to a reported 3-year, $15M contract with a 1-year team option
2016-06-02|Raptors|Dwane Casey||re-signed as head coach to a 3-year, $16M contract extension
2016-06-03|Kings|Bryan Gates||hired as assistant coach
2016-06-03|Kings|Corliss Williamson||hired as assistant coach
2016-06-03|Kings|Duane Ticknor||hired as assistant coach
2016-06-03|Kings|Elston Turner||hired as assistant coach
2016-06-03|Kings|Jason March||hired as assistant coach
2016-06-03|Kings|Nancy Lieberman||hired as assistant coach
2016-06-08|Grizzlies|John-Blair Bickerstaff / J.B. Bickerstaff||hired as associate head coach
2016-06-08|Grizzlies|Nick Van Exel||hired as assistant coach
2016-06-13|Clippers||Kevin Eastman|retired as assistant coach
2016-06-15|Pistons|Bob Beyer||promoted to associate head coach
2016-06-15|Pistons|Otis Smith||promoted to director of player development/assistant coach
2016-06-21|Bucks|Jason Kidd||re-signed as head coach to a 3-year contract extension through 2019-20
2016-06-21|Warriors||Luke Walton|resigned as assistant coach
2016-06-21|Lakers|Luke Walton||assumed duties as head coach
2016-06-27|Pacers|Bill Bayno||hired as assistant coach
2016-06-27|Pacers|David McClure||hired as assistant coach
2016-06-29|Magic|Chad Forcier||hired as assistant coach
2016-06-29|Magic|Corliss Williamson||hired as assistant coach
2016-06-29|Magic|David Adelman||hired as assistant coach
2016-06-29|Magic|Jay Hernandez||re-signed as assistant coach
2016-06-29|Pistons|Rex Walters||hired as NBADL head coach
2016-07-01|Lakers|Brian Shaw||hired as assistant coach
2016-07-01|Lakers|Jesse Mermuys||hired as assistant coach
2016-07-01|Lakers|Mark Madsen||hired as assistant coach
2016-07-01|Thunder|Adrian Griffin||hired as assistant coach
2016-07-01|Thunder|Mark Daigneault||reassigned as NBADL head coach
2016-07-01|Thunder|Royal Ivey||promoted to assistant coach
2016-07-01|Thunder|Vin Bhavnani||promoted to assistant coach
2016-07-05|Grizzlies|Adam Mazarei||hired as assistant coach
2016-07-05|Grizzlies|Keith Smart||hired as assistant coach
2016-07-05|Wizards|Chad Iske||hired as assistant coach
2016-07-05|Wizards|Eric Sebastian||hired as director of coaching operations
2016-07-05|Wizards|Maz Trakh||hired as assistant coach
2016-07-05|Wizards|Mike Terpstra||hired as assistant coach
2016-07-05|Wizards|Sidney Lowe||hired as assistant coach
2016-07-05|Wizards|Tony Brown||hired as assistant coach
2016-07-06|Nets|Adam Harrington||hired as assistant coach
2016-07-06|Nets|Bret Brielmaier||hired as assistant coach
2016-07-06|Nets|Chris Fleming||hired as assistant coach
2016-07-06|Nets|Jacque Vaughn||hired as assistant coach
2016-07-06|Nets|Jordan Ott||hired as assistant coach
2016-07-06|Warriors|Mike Brown (c)||hired as assistant coach
2016-07-08|Bulls|Dr. Wendy Borlabi||hired as high performance coach
2016-07-25|Cavaliers|Tyronn Lue||re-signed as head coach to a 5-year, $35M contract extension (fifth year is team option)
2016-07-27|Suns|Jay Triano||hired as assistant coach
2016-07-27|Suns|Marion Garnett||hired as assistant coach
2016-07-27|Suns|Nate Bjorkgren||hired as assistant coach
2016-07-27|Suns|Tyrone Corbin||hired as assistant coach
2016-08-09|Warriors|Willie Green||hired as assistant coach/player development
2016-08-17|Grizzlies|Bob Bender||hired as assistant coach
2016-08-17|Grizzlies|Bob Thate||hired as shooting coach
2016-09-13|Suns|Mehmet Okur||hired as player development coach
2016-09-14|Nuggets|Chris Finch||hired as assistant coach
2016-09-14|Nuggets|Jordi Fernandez||hired as assistant coach
2016-09-14|Nuggets|Stephen Graham||hired as player development coach
2016-09-16|Bucks|Stacey Augmon||hired as assistant coach
2016-09-16|Spurs|Will Hardy||promoted to assistant coach
2016-09-23|Pistons|Aaron Gray||promoted to assistant coach
2016-09-23|Pistons|Evarist Akujobi||hired as NBADL strength and conditioning coach
2016-09-23|Pistons|Jordan Sabourin||promoted to head strength coach
2016-09-23|Pistons|Louis Thompson||hired as assistant strength and conditioning coach
2016-09-25|Timberwolves|Andy Greer||hired as assistant coach
2016-09-25|Timberwolves|David Crewe||retained as strength and condition coach
2016-09-25|Timberwolves|Peter Patton||hired as shooting coach
2016-09-25|Timberwolves|Rick Brunson||hired as assistant coach
2016-09-25|Timberwolves|Ryan Saunders||retained as assistant coach
2016-09-25|Timberwolves|Vince Legarza||promoted to player development coach
2016-10-02|Timberwolves|Ed Pinckney||hired as assistant coach
2016-10-05|Lakers|Sean Light||hired as assistant strength and conditioning coach
